entite_privee,label,type,uri_wikidata,wd_label,score_confiance,statut
:Q133752835,Q133752835,Athlete,http://www.wikidata.org/entity/Q133752835,,0.85,alignée (CSV)
:Q136759786,Q136759786,Athlete,http://www.wikidata.org/entity/Q136759786,,0.85,alignée (CSV)
:Q136762889,Q136762889,Athlete,http://www.wikidata.org/entity/Q136762889,,0.85,alignée (CSV)
:Q136780882,Q136780882,Athlete,http://www.wikidata.org/entity/Q136780882,,0.85,alignée (CSV)
:Q136784691,Q136784691,Athlete,http://www.wikidata.org/entity/Q136784691,,0.85,alignée (CSV)
:Q137285557,Q137285557,Athlete,http://www.wikidata.org/entity/Q137285557,,0.85,alignée (CSV)
:Q137285610,Q137285610,Athlete,http://www.wikidata.org/entity/Q137285610,,0.85,alignée (CSV)
:Q137285841,Q137285841,Athlete,http://www.wikidata.org/entity/Q137285841,,0.85,alignée (CSV)
:Q137285878,Q137285878,Athlete,http://www.wikidata.org/entity/Q137285878,,0.85,alignée (CSV)
:Q137285904,Q137285904,Athlete,http://www.wikidata.org/entity/Q137285904,,0.85,alignée (CSV)
:Q137285917,Q137285917,Athlete,http://www.wikidata.org/entity/Q137285917,,0.85,alignée (CSV)
:Q137286073,Q137286073,Athlete,http://www.wikidata.org/entity/Q137286073,,0.85,alignée (CSV)
:Q137286084,Q137286084,Athlete,http://www.wikidata.org/entity/Q137286084,,0.85,alignée (CSV)
:Q137286149,Q137286149,Athlete,http://www.wikidata.org/entity/Q137286149,,0.85,alignée (CSV)
:Q137290278,Q137290278,Athlete,http://www.wikidata.org/entity/Q137290278,,0.85,alignée (CSV)
:Q137290631,Q137290631,Athlete,http://www.wikidata.org/entity/Q137290631,,0.85,alignée (CSV)
:Q137290678,Q137290678,Athlete,http://www.wikidata.org/entity/Q137290678,,0.85,alignée (CSV)
:Q137292696,Q137292696,Athlete,http://www.wikidata.org/entity/Q137292696,,0.85,alignée (CSV)
:Q137297807,Q137297807,Athlete,http://www.wikidata.org/entity/Q137297807,,0.85,alignée (CSV)
:Q137297983,Q137297983,Athlete,http://www.wikidata.org/entity/Q137297983,,0.85,alignée (CSV)
:Q137298021,Q137298021,Athlete,http://www.wikidata.org/entity/Q137298021,,0.85,alignée (CSV)
:Q137298043,Q137298043,Athlete,http://www.wikidata.org/entity/Q137298043,,0.85,alignée (CSV)
:Q137298135,Q137298135,Athlete,http://www.wikidata.org/entity/Q137298135,,0.85,alignée (CSV)
:Q137298250,Q137298250,Athlete,http://www.wikidata.org/entity/Q137298250,,0.85,alignée (CSV)
:Q137298303,Q137298303,Athlete,http://www.wikidata.org/entity/Q137298303,,0.85,alignée (CSV)
:Q137298368,Q137298368,Athlete,http://www.wikidata.org/entity/Q137298368,,0.85,alignée (CSV)
:Q137298472,Q137298472,Athlete,http://www.wikidata.org/entity/Q137298472,,0.85,alignée (CSV)
:Q137299366,Q137299366,Athlete,http://www.wikidata.org/entity/Q137299366,,0.85,alignée (CSV)
:Q137299382,Q137299382,Athlete,http://www.wikidata.org/entity/Q137299382,,0.85,alignée (CSV)
:Q137299476,Q137299476,Athlete,http://www.wikidata.org/entity/Q137299476,,0.85,alignée (CSV)
:Q137299520,Q137299520,Athlete,http://www.wikidata.org/entity/Q137299520,,0.85,alignée (CSV)
:Q137299545,Q137299545,Athlete,http://www.wikidata.org/entity/Q137299545,,0.85,alignée (CSV)
:Q137299689,Q137299689,Athlete,http://www.wikidata.org/entity/Q137299689,,0.85,alignée (CSV)
:Q137321858,Q137321858,Athlete,http://www.wikidata.org/entity/Q137321858,,0.85,alignée (CSV)
:Q137322048,Q137322048,Athlete,http://www.wikidata.org/entity/Q137322048,,0.85,alignée (CSV)
:Q137322232,Q137322232,Athlete,http://www.wikidata.org/entity/Q137322232,,0.85,alignée (CSV)
:Q137322324,Q137322324,Athlete,http://www.wikidata.org/entity/Q137322324,,0.85,alignée (CSV)
:Q137322380,Q137322380,Athlete,http://www.wikidata.org/entity/Q137322380,,0.85,alignée (CSV)
:Q137322394,Q137322394,Athlete,http://www.wikidata.org/entity/Q137322394,,0.85,alignée (CSV)
:Q137322416,Q137322416,Athlete,http://www.wikidata.org/entity/Q137322416,,0.85,alignée (CSV)
:Q137322623,Q137322623,Athlete,http://www.wikidata.org/entity/Q137322623,,0.85,alignée (CSV)
:Q137322820,Q137322820,Athlete,http://www.wikidata.org/entity/Q137322820,,0.85,alignée (CSV)
:Q137322859,Q137322859,Athlete,http://www.wikidata.org/entity/Q137322859,,0.85,alignée (CSV)
:Q137351621,Q137351621,Athlete,http://www.wikidata.org/entity/Q137351621,,0.85,alignée (CSV)
:Q137351657,Q137351657,Athlete,http://www.wikidata.org/entity/Q137351657,,0.85,alignée (CSV)
:Q137351698,Q137351698,Athlete,http://www.wikidata.org/entity/Q137351698,,0.85,alignée (CSV)
:Q137351706,Q137351706,Athlete,http://www.wikidata.org/entity/Q137351706,,0.85,alignée (CSV)
:Q137351714,Q137351714,Athlete,http://www.wikidata.org/entity/Q137351714,,0.85,alignée (CSV)
:Q137351741,Q137351741,Athlete,http://www.wikidata.org/entity/Q137351741,,0.85,alignée (CSV)
:Q137365112,Q137365112,Athlete,http://www.wikidata.org/entity/Q137365112,,0.85,alignée (CSV)
:Q137365726,Q137365726,Athlete,http://www.wikidata.org/entity/Q137365726,,0.85,alignée (CSV)
:Q137366326,Q137366326,Athlete,http://www.wikidata.org/entity/Q137366326,,0.85,alignée (CSV)
:Q137366677,Q137366677,Athlete,http://www.wikidata.org/entity/Q137366677,,0.85,alignée (CSV)
:Q137366691,Q137366691,Athlete,http://www.wikidata.org/entity/Q137366691,,0.85,alignée (CSV)
:Q137366712,Q137366712,Athlete,http://www.wikidata.org/entity/Q137366712,,0.85,alignée (CSV)
:Q137366720,Q137366720,Athlete,http://www.wikidata.org/entity/Q137366720,,0.85,alignée (CSV)
:Q137366747,Q137366747,Athlete,http://www.wikidata.org/entity/Q137366747,,0.85,alignée (CSV)
:Q137366777,Q137366777,Athlete,http://www.wikidata.org/entity/Q137366777,,0.85,alignée (CSV)
:Q137427217,Q137427217,Athlete,http://www.wikidata.org/entity/Q137427217,,0.85,alignée (CSV)
